fio,position,department,review_mark,salary
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел Пользовательского опыта –> Команда "Аутентификация",5,100000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел Пользовательского опыта –> Команда "Аутентификация",4,150000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел Пользовательского опыта –> Команда "Аутентификация",3,80000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел Пользовательского опыта –> Команда "Аутентификация",5,100000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
Иванов Сергей Лаврентьевич,Разработчик систем управления заказами,Департамент Разработки –> Отдел CRM –> Команда "Ценообразование",4,90000
